Sample	Type	Symbiont Density	POX/mg protein	PPO/mg protein	CAT/mg protein	mg melanin/mg tissue	DT	GR
A21-001	B	30.66666667	2.252113028	1.034133533	1938.31961	0.011034462	5.340401417	0.31057404
A21-002	B	49	2.719046641	1.151818369	1909.108276	0.019486269	3.13879435	0.395359266
A21-003	B	82	2.286644685	1.068350386	1392.331028	0.021271991	6.081414054	0.275359512
A21-007	B	36	2.076314799	0.179486345	973.4737432	0.007450147	3.76817394	0.356361854
A21-013	B	2	0.524113349	0.605182287	811.1671107	0.013034062	6.480506851	0.268627304
A21-014	B	3.2	0.891726452	1.513402786	1074.212075	0.016392578	7.015875238	0.237254889
A21-018	B	12	1.013435755	0.264760574	1358.515566	0.017925655	5.083884235	0.349600001
A21-019	B	3.333333333	0.411202931	0.148638692	1094.529999	0.013809456	4.992410838	0.337139766
A21-020	B	16.66666667	0.350238192	0.153905658	1607.749197	0.016374237	4.886850579	0.331647109
A21-004	W	2	6.344194254	1.391428692	922.3096366	0.007936862	3.95699151	0.362775302
A21-006	W	0	1.052490933	0.938696582	957.5183703	0.006455063	5.623862011	0.315440203
A21-008	W	1.666666667	0.240691431	0.343949385	281.0269568	0.009858622	5.00338317	0.332888343
A21-009	W	0	0.743193459	0.924929032	1277.890213	0.010497702	4.656935455	0.330523392
A21-010	W	0	1.407137446	0.47129697	1022.79984	0.007337827	4.095835743	0.354324397
A21-011	W	2.666666667	3.200285991	1.589908092	1003.92402	0.009983177	4.465829606	0.31460454
A21-012	W	0.666666667	2.358776027	0.544829991	1047.139174	0.009226087	4.045672798	0.36143668
A21-015	W	0	0.395656716	1.333923985	1140.14348	0.007433548	3.995739218	0.361962965
A21-016	W	0.666666667	4.17350874	0.935486668	822.255209	0.015303702	3.887664166	0.37272031
A21-017	W	1.333333333	1.826782912	0.275187151	1329.341883	0.008067805	5.375535637	0.304397529
